Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
18-24,5000-10000,Student,Arab,Loyal to 1-2,Once/month,64.3,Lunch,Weekends,Takeaway,2 people,<3km,Arabic,Mid-range,Marina,Moderately sensitive,Definitely yes,Neutral,Moderately important,15%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jul-Sep",5,"Crowded restaurants, High weekend prices, Long delivery time, Long wait times","Loyalty rewards, Group dining deals",Medium,1.02,,64.3,65.59,0.0,2.2,19.0,5,Yes
18-24,5000-10000,Professional,South Asian,Loyalty program user,2-3/month,29.56,Dinner,Weekends,Restaurant App,Alone,3-7km,Asian,Budget/Casual,Downtown,Very sensitive,Definitely yes,Unfair,Not important,15%,Dine-in more during heat,"Jan-Mar, Oct-Dec",3,"Long delivery time, Crowded restaurants, Unpredictable pricing, High delivery fees","Loyalty rewards, Real-time pricing, Personalised discounts",High,1.07,,29.56,31.63,0.0,6.8,32.0,3,Yes
25-34,5000-10000,Professional,Arab,Explorer,2-3/month,51.97,Dinner,Weekends,Dine-in,Alone,<3km,Arabic,Budget/Casual,Downtown,Very sensitive,Definitely not,Very unfair,Extremely important,15%,Switch to delivery in heat,Jan-Mar,4,Long wait times,"Loyalty rewards, Personalised discounts, Low-demand discounts, Wait time estimate",High,1.02,91.0,51.97,53.01,0.0,,,4,Yes
25-34,10001-20000,Student,South Asian,Explorer,Multiple/week,168.5,Breakfast,Weekdays,Delivery App,3-4 people,>15km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Maybe,Very fair,Slightly important,20%,Outdoor dining in pleasant weather,"Oct-Dec, Jan-Mar",3,Unpredictable pricing,"Real-time pricing, Wait time estimate",Medium,1.05,,168.5,176.92,0.0,17.7,58.0,3,Yes
35-44,20001-35000,Family,Arab,Loyal to 1-2,2-3/month,332.65,Breakfast,Both,Dine-in,3-4 people,>15km,Arabic,Premium/Fine Dining,Business Bay,Moderately sensitive,Definitely yes,Somewhat fair,Moderately important,15%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun, Jul-Sep",5,"Long delivery time, Crowded restaurants","Low-demand discounts, Table availability",Medium,1.1,36.5,332.65,365.92,0.0,,,5,Yes
55+,>35000,Tourist,Arab,Explorer,Multiple/week,193.55,Lunch,Both,Dine-in,2 people,3-7km,Indian/Pakistani,Budget/Casual,Marina,Slightly sensitive,Probably not,Neutral,Slightly important,20%,No impact,"Oct-Dec, Apr-Jun, Jan-Mar",3,Long delivery time,"Demand alerts, Table availability",Medium,0.91,64.6,193.55,176.13,9.0,,,3,Yes
25-34,5000-10000,Student,South Asian,Few regulars,Multiple/week,51.31,Dinner,Weekdays,Takeaway,2 people,<3km,Fast Food,Budget/Casual,DIFC,Very sensitive,Definitely yes,Very fair,Moderately important,20%,Outdoor dining in pleasant weather,"Jan-Mar, Jul-Sep, Oct-Dec",4,Crowded restaurants,"Wait time estimate, Loyalty rewards",Medium,0.99,,51.31,50.8,1.0,1.1,23.0,4,Yes
25-34,10001-20000,Student,South Asian,Explorer,2-3/month,52.02,Lunch,Weekends,Delivery App,Alone,<3km,Indian/Pakistani,Mid-range,Deira,Moderately sensitive,Probably not,Unfair,Moderately important,15%,Outdoor dining in pleasant weather,Jan-Mar,4,"Limited discounts, Crowded restaurants, Hard to find tables",Wait time estimate,Medium,1.07,,52.02,55.66,0.0,2.1,22.0,4,Yes
35-44,10001-20000,Tourist,South Asian,Few regulars,2-3/month,73.14,Breakfast,Both,Delivery App,3-4 people,7-15km,Indian/Pakistani,Budget/Casual,DIFC,Not sensitive,Probably not,Unfair,Slightly important,5%,Switch to delivery in heat,Oct-Dec,4,"Limited discounts, Hard to find tables, High weekend prices, High delivery fees","Personalised discounts, Group dining deals, Table availability, Demand alerts",Medium,0.96,,73.14,70.21,4.0,10.2,36.0,4,Yes
25-34,10001-20000,Tourist,South Asian,Few regulars,Once/week,99.31,Lunch,Weekdays,Restaurant App,3-4 people,<3km,Fast Food,Budget/Casual,DIFC,Slightly sensitive,Maybe,Unfair,Not important,>20%,Dine-in more during heat,"Oct-Dec, Apr-Jun, Jan-Mar",2,"Long delivery time, Hard to find tables, Unpredictable pricing, Crowded restaurants","Group dining deals, Table availability",Medium,0.82,,99.31,81.43,18.0,2.4,20.0,2,No
25-34,<5000,Professional,Arab,Loyal to 1-2,2-3/month,38.12,Dinner,Weekends,Dine-in,Alone,7-15km,Western,Depends on occasion,DIFC,Not sensitive,Definitely yes,Very unfair,Moderately important,5%,No impact,Oct-Dec,4,Limited discounts,Group dining deals,High,1.19,96.4,38.12,45.36,0.0,,,4,No
35-44,20001-35000,Professional,South Asian,Few regulars,Multiple/week,136.24,Lunch,Weekdays,Dine-in,3-4 people,>15km,Fast Food,Depends on occasion,JBR,Not sensitive,Maybe,Unfair,Moderately important,15%,Dine-in more during heat,Jan-Mar,4,"Hard to find tables, High weekend prices","Table availability, Real-time pricing, Wait time estimate, Low-demand discounts",Medium,1.03,64.3,136.24,140.33,0.0,,,4,No
18-24,<5000,Student,South Asian,Explorer,Multiple/week,24.57,Late Night,Both,Delivery App,Alone,<3km,Indian/Pakistani,Budget/Casual,Deira,Very sensitive,Definitely not,Neutral,Moderately important,>20%,Switch to delivery in heat,Apr-Jun,2,"High delivery fees, Hard to find tables","Real-time pricing, Loyalty rewards, Wait time estimate, Low-demand discounts",Medium,0.96,,24.57,23.59,4.0,1.6,23.0,2,Yes
25-34,5000-10000,Professional,Western Expat,Loyalty program user,Multiple/week,41.42,Breakfast,Both,Delivery App,Alone,<3km,Asian,Depends on occasion,Mall,Very sensitive,Definitely yes,Unfair,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Jul-Sep",3,"Crowded restaurants, High weekend prices, Long wait times, High delivery fees","Loyalty rewards, Group dining deals",Medium,1.09,,41.42,45.15,0.0,1.2,12.0,3,Yes
25-34,>35000,Tourist,South Asian,Few regulars,2-3/month,539.32,Lunch,Both,Dine-in,3-4 people,<3km,Arabic,Premium/Fine Dining,DIFC,Not sensitive,Maybe,Very fair,Not important,>20%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Apr-Jun",4,"High weekend prices, High delivery fees, Hard to find tables","Demand alerts, Real-time pricing, Low-demand discounts, Group dining deals",Medium,1.15,61.2,539.32,620.22,0.0,,,4,Yes
25-34,5000-10000,Professional,East Asian,Loyal to 1-2,Once/month,84.3,Lunch,Both,Dine-in,3-4 people,<3km,Asian,Mid-range,Mall,Very sensitive,Probably not,Somewhat fair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Jul-Sep, Apr-Jun",4,"Crowded restaurants, High weekend prices, High delivery fees","Personalised discounts, Loyalty rewards, Wait time estimate, Group dining deals",Medium,1.01,48.2,84.3,85.14,0.0,,,4,No
25-34,10001-20000,Professional,East Asian,Explorer,Once/week,88.29,Lunch,Both,Restaurant App,2 people,3-7km,Healthy/Vegan,Mid-range,JBR,Moderately sensitive,Definitely yes,Unfair,Very important,20%,Dine-in more during heat,"Apr-Jun, Jan-Mar, Oct-Dec",4,Unpredictable pricing,"Group dining deals, Demand alerts, Low-demand discounts",Medium,1.06,,88.29,93.59,0.0,5.4,20.0,4,No
18-24,<5000,Student,South Asian,Loyal to 1-2,Once/month,18.25,Late Night,Both,Delivery App,Alone,7-15km,Indian/Pakistani,Budget/Casual,Mall,Very sensitive,Probably not,Somewhat fair,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Jul-Sep",5,High delivery fees,"Low-demand discounts, Table availability, Loyalty rewards, Demand alerts",High,1.19,,18.25,21.72,0.0,8.5,34.0,5,Yes
25-34,5000-10000,Student,Western Expat,Loyal to 1-2,2-3/month,122.25,Breakfast,Both,Takeaway,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Downtown,Moderately sensitive,Maybe,Neutral,Moderately important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,High delivery fees,Loyalty rewards,Medium,1.03,,122.25,125.92,0.0,2.1,19.0,4,No
25-34,10001-20000,Professional,Western Expat,Few regulars,Multiple/week,124.12,Dinner,Weekdays,Restaurant App,5+,7-15km,Indian/Pakistani,Budget/Casual,Mall,Moderately sensitive,Definitely not,Unfair,Extremely important,>20%,Switch to delivery in heat,"Jul-Sep, Oct-Dec",3,"Unpredictable pricing, Long wait times, High delivery fees, Hard to find tables","Demand alerts, Loyalty rewards",Medium,0.95,,124.12,117.91,5.0,12.6,42.0,3,Yes
45-54,5000-10000,Professional,East Asian,Loyal to 1-2,2-3/month,71.65,Lunch,Weekends,Dine-in,2 people,<3km,Western,Mid-range,Mall,Slightly sensitive,Probably not,Neutral,Moderately important,20%,No impact,"Apr-Jun, Oct-Dec, Jul-Sep",2,"Hard to find tables, Crowded restaurants, High delivery fees","Demand alerts, Group dining deals",Medium,1.12,68.9,71.65,80.25,0.0,,,2,Yes
55+,10001-20000,Family,Western Expat,Loyalty program user,Multiple/week,136.03,Dinner,Weekends,Dine-in,5+,3-7km,Western,Mid-range,JBR,Moderately sensitive,Definitely yes,Very unfair,Very important,15%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",4,High weekend prices,"Table availability, Personalised discounts, Loyalty rewards, Low-demand discounts",High,1.2,77.2,136.03,163.24,0.0,,,4,Yes
25-34,5000-10000,Professional,South Asian,Loyalty program user,Multiple/week,43.91,Late Night,Weekends,Takeaway,2 people,<3km,Fast Food,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Neutral,Extremely important,15%,No impact,"Jul-Sep, Oct-Dec",3,"Limited discounts, High delivery fees","Group dining deals, Real-time pricing",High,1.24,,43.91,54.45,0.0,1.8,20.0,3,Yes
18-24,10001-20000,Professional,South Asian,Few regulars,2-3/month,78.4,Dinner,Both,Dine-in,2 people,<3km,Fast Food,Mid-range,DIFC,Slightly sensitive,Maybe,Somewhat fair,Moderately important,5%,Outdoor dining in pleasant weather,"Apr-Jun, Oct-Dec",4,"Long wait times, Crowded restaurants, Long delivery time","Low-demand discounts, Real-time pricing, Personalised discounts",High,1.25,90.6,78.4,98.0,0.0,,,4,Yes
55+,20001-35000,Tourist,Arab,Explorer,Once/week,101.57,Dinner,Weekdays,Dine-in,2 people,3-7km,Healthy/Vegan,Budget/Casual,DIFC,Moderately sensitive,Definitely yes,Neutral,Moderately important,>20%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",3,"Long delivery time, High weekend prices","Table availability, Group dining deals",Medium,0.86,63.7,101.57,87.35,14.0,,,3,Yes
18-24,<5000,Tourist,South Asian,Explorer,Rarely,27.72,Late Night,Weekends,Restaurant App,3-4 people,<3km,Western,Budget/Casual,Deira,Moderately sensitive,Probably not,Somewhat fair,Moderately important,5%,No impact,"Apr-Jun, Jul-Sep",5,Long wait times,"Personalised discounts, Demand alerts",Medium,0.98,,27.72,27.17,2.0,2.1,13.0,5,Yes
18-24,<5000,Student,Arab,Loyal to 1-2,Rarely,45.68,Late Night,Weekends,Takeaway,3-4 people,<3km,Western,Budget/Casual,Mall,Not sensitive,Definitely not,Neutral,Not important,5%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",3,"Long delivery time, Limited discounts, High delivery fees","Wait time estimate, Demand alerts",High,1.17,,45.68,53.45,0.0,2.9,24.0,3,Yes
18-24,<5000,Student,East Asian,Explorer,2-3/month,36.79,Lunch,Weekdays,Dine-in,3-4 people,<3km,Asian,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Very fair,Very important,>20%,Switch to delivery in heat,Apr-Jun,5,High delivery fees,"Group dining deals, Demand alerts, Loyalty rewards, Personalised discounts",Low,0.86,48.5,36.79,31.64,14.0,,,5,No
35-44,10001-20000,Professional,East Asian,Explorer,Once/week,82.83,Lunch,Weekends,Delivery App,2 people,<3km,Western,Budget/Casual,Downtown,Moderately sensitive,Definitely yes,Unfair,Very important,15%,Switch to delivery in heat,"Apr-Jun, Jul-Sep, Jan-Mar",5,"Unpredictable pricing, Crowded restaurants, Hard to find tables","Table availability, Group dining deals",Medium,0.91,,82.83,75.38,9.0,2.3,25.0,5,Yes
18-24,10001-20000,Student,Arab,Few regulars,Multiple/week,97.59,Dinner,Both,Delivery App,Alone,<3km,Asian,Depends on occasion,Marina,Not sensitive,Definitely not,Very fair,Moderately important,15%,Dine-in more during heat,"Jan-Mar, Jul-Sep, Oct-Dec",4,"Limited discounts, High delivery fees","Wait time estimate, Demand alerts, Low-demand discounts, Personalised discounts",High,1.18,,97.59,115.16,0.0,1.7,18.0,4,No
18-24,<5000,Student,East Asian,Explorer,2-3/month,32.13,Dinner,Weekends,Delivery App,Alone,7-15km,Asian,Budget/Casual,Business Bay,Moderately sensitive,Definitely yes,Somewhat fair,Very important,15%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",5,"Long delivery time, High delivery fees",Loyalty rewards,High,1.2,,32.13,38.56,0.0,11.9,42.0,5,Yes
25-34,10001-20000,Professional,Western Expat,Loyalty program user,Multiple/week,57.24,Dinner,Weekends,Takeaway,Alone,<3km,Arabic,Budget/Casual,Business Bay,Very sensitive,Probably not,Very fair,Extremely important,20%,Outdoor dining in pleasant weather,"Apr-Jun, Oct-Dec, Jul-Sep",3,"Long delivery time, High weekend prices","Table availability, Low-demand discounts, Group dining deals",High,1.11,,57.24,63.54,0.0,1.8,23.0,3,No
35-44,10001-20000,Family,East Asian,Few regulars,Multiple/week,65.83,Late Night,Both,Dine-in,Alone,7-15km,Asian,Depends on occasion,Marina,Slightly sensitive,Maybe,Very unfair,Moderately important,5%,Switch to delivery in heat,"Jul-Sep, Oct-Dec",2,"Limited discounts, High weekend prices, Crowded restaurants, Unpredictable pricing","Personalised discounts, Real-time pricing",High,1.25,60.7,65.83,82.29,0.0,,,2,No
35-44,20001-35000,Professional,Western Expat,Loyal to 1-2,2-3/month,201.46,Dinner,Both,Delivery App,Alone,3-7km,Western,Premium/Fine Dining,Downtown,Moderately sensitive,Maybe,Very unfair,Moderately important,20%,Switch to delivery in heat,"Apr-Jun, Jul-Sep, Jan-Mar",4,"Long wait times, High weekend prices, Unpredictable pricing, Crowded restaurants","Table availability, Group dining deals",High,1.3,,201.46,261.9,0.0,5.9,24.0,4,Yes
18-24,<5000,Professional,East Asian,Loyal to 1-2,2-3/month,41.98,Late Night,Weekends,Takeaway,2 people,7-15km,Fast Food,Depends on occasion,Deira,Moderately sensitive,Maybe,Neutral,Extremely important,20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",5,"Hard to find tables, High delivery fees","Wait time estimate, Demand alerts, Low-demand discounts, Personalised discounts",High,1.14,,41.98,47.86,0.0,8.7,39.0,5,Yes
35-44,10001-20000,Professional,South Asian,Loyal to 1-2,Rarely,91.88,Dinner,Weekends,Dine-in,Alone,<3km,Indian/Pakistani,Mid-range,Marina,Very sensitive,Probably not,Very unfair,Moderately important,20%,Dine-in more during heat,Apr-Jun,3,"Unpredictable pricing, High weekend prices, Long delivery time",Personalised discounts,Medium,1.03,73.8,91.88,94.64,0.0,,,3,Yes
35-44,20001-35000,Family,Western Expat,Loyal to 1-2,Multiple/week,189.11,Dinner,Weekends,Dine-in,Alone,3-7km,Healthy/Vegan,Premium/Fine Dining,Downtown,Slightly sensitive,Maybe,Neutral,Not important,10%,Dine-in more during heat,Apr-Jun,5,"High delivery fees, Limited discounts, Hard to find tables, Long wait times","Wait time estimate, Loyalty rewards, Table availability, Personalised discounts",Medium,1.1,54.3,189.11,208.02,0.0,,,5,No
55+,>35000,Professional,Arab,Few regulars,Once/week,351.67,Dinner,Weekends,Dine-in,2 people,<3km,Arabic,Premium/Fine Dining,DIFC,Slightly sensitive,Definitely not,Unfair,Moderately important,10%,Outdoor dining in pleasant weather,"Jul-Sep, Oct-Dec",4,"Long delivery time, High delivery fees, Crowded restaurants","Low-demand discounts, Demand alerts",High,1.31,93.6,351.67,460.69,0.0,,,4,Yes
35-44,20001-35000,Professional,East Asian,Explorer,Multiple/week,143.2,Late Night,Weekends,Delivery App,2 people,3-7km,Western,Depends on occasion,Marina,Slightly sensitive,Probably not,Unfair,Slightly important,5%,Outdoor dining in pleasant weather,"Oct-Dec, Jan-Mar",2,"Unpredictable pricing, Hard to find tables, Long wait times, High delivery fees","Table availability, Low-demand discounts, Loyalty rewards",High,1.29,,143.2,184.73,0.0,5.1,25.0,2,No
35-44,20001-35000,Professional,Arab,Few regulars,2-3/month,181.35,Breakfast,Weekends,Delivery App,2 people,3-7km,Asian,Depends on occasion,Business Bay,Slightly sensitive,Maybe,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,Jan-Mar,4,"Long wait times, High delivery fees, High weekend prices, Long delivery time",Personalised discounts,Medium,0.95,,181.35,172.28,5.0,3.2,18.0,4,Yes
45-54,>35000,Professional,Western Expat,Explorer,Multiple/week,399.56,Lunch,Both,Takeaway,2 people,3-7km,Western,Premium/Fine Dining,Mall,Not sensitive,Probably not,Somewhat fair,Slightly important,10%,No impact,Oct-Dec,5,High weekend prices,"Wait time estimate, Table availability, Group dining deals",Medium,1.1,,399.56,439.52,0.0,3.1,25.0,5,Yes
25-34,10001-20000,Professional,East Asian,Few regulars,2-3/month,50.75,Late Night,Weekends,Takeaway,Alone,3-7km,Asian,Budget/Casual,JBR,Moderately sensitive,Definitely not,Very fair,Very important,20%,Switch to delivery in heat,Jan-Mar,5,"Hard to find tables, Crowded restaurants, High delivery fees, Long delivery time","Wait time estimate, Demand alerts, Low-demand discounts, Personalised discounts",High,1.15,,50.75,58.36,0.0,5.8,30.0,5,Yes
25-34,5000-10000,Professional,Western Expat,Loyalty program user,Once/week,44.94,Dinner,Both,Takeaway,Alone,3-7km,Arabic,Mid-range,Mall,Slightly sensitive,Maybe,Very fair,Moderately important,20%,No impact,Oct-Dec,3,High delivery fees,"Loyalty rewards, Group dining deals, Low-demand discounts",High,1.19,,44.94,53.48,0.0,4.3,29.0,3,Yes
45-54,10001-20000,Professional,Arab,Loyalty program user,Once/week,43.65,Late Night,Both,Delivery App,Alone,<3km,Western,Budget/Casual,Downtown,Not sensitive,Probably yes,Unfair,Extremely important,20%,Switch to delivery in heat,"Jan-Mar, Apr-Jun, Oct-Dec",3,"Crowded restaurants, Long wait times",Demand alerts,High,1.23,,43.65,53.69,0.0,1.2,26.0,3,No
35-44,10001-20000,Family,Western Expat,Few regulars,2-3/month,161.47,Lunch,Weekends,Dine-in,5+,7-15km,Western,Mid-range,Downtown,Moderately sensitive,Maybe,Very unfair,Extremely important,15%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",5,"Limited discounts, Long delivery time, Long wait times, Hard to find tables","Wait time estimate, Low-demand discounts, Group dining deals",Medium,0.99,50.3,161.47,159.86,1.0,,,5,No
45-54,20001-35000,Family,Arab,Explorer,Once/week,182.27,Dinner,Weekdays,Delivery App,3-4 people,<3km,Arabic,Depends on occasion,Marina,Moderately sensitive,Maybe,Unfair,Moderately important,10%,Dine-in more during heat,Jul-Sep,4,Hard to find tables,"Wait time estimate, Group dining deals",Medium,0.98,,182.27,178.62,2.0,1.8,12.0,4,No
25-34,20001-35000,Family,South Asian,Loyal to 1-2,Rarely,333.46,Breakfast,Both,Restaurant App,3-4 people,7-15km,Fast Food,Premium/Fine Dining,Marina,Moderately sensitive,Probably not,Unfair,Moderately important,5%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jul-Sep",4,Limited discounts,"Loyalty rewards, Group dining deals, Real-time pricing, Wait time estimate",Medium,1.13,,333.46,376.81,0.0,12.0,49.0,4,Yes
25-34,5000-10000,Professional,South Asian,Loyalty program user,Once/month,41.15,Dinner,Both,Dine-in,Alone,3-7km,Indian/Pakistani,Mid-range,Mall,Not sensitive,Definitely not,Very fair,Moderately important,15%,No impact,"Jan-Mar, Oct-Dec, Jul-Sep",3,"Long delivery time, Hard to find tables, Crowded restaurants","Real-time pricing, Personalised discounts",High,1.22,88.1,41.15,50.2,0.0,,,3,Yes
25-34,20001-35000,Professional,Arab,Loyal to 1-2,Multiple/week,162.31,Late Night,Weekends,Dine-in,2 people,<3km,Arabic,Mid-range,Downtown,Slightly sensitive,Probably not,Somewhat fair,Not important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",4,"Limited discounts, Crowded restaurants",Real-time pricing,High,1.17,78.0,162.31,189.9,0.0,,,4,Yes
